# accelerometer data in g
t,x,y,z
0.00,-0.0938,-0.0156,0.9531
0.02,-0.0938,-0.0156,0.9531
0.04,-0.0938,-0.0156,0.9531
0.06,-0.0938,-0.0156,0.9531
0.08,-0.0938,-0.0156,0.9531
0.10,-0.0938,-0.0156,0.9531
0.12,-0.0938,-0.0156,0.9375
0.14,-0.0938,-0.0156,0.9531
0.16,-0.0938,-0.0156,0.9531
0.18,-0.0938,-0.0156,0.9531
0.20,-0.0938,-0.0156,0.9531
0.22,-0.0938,-0.0156,0.9531
0.24,-0.0938,-0.0156,0.9688
0.26,-0.1094,-0.0156,0.9688
0.28,-0.0938,-0.0156,0.9531
0.30,-0.0938,-0.0156,0.9688
0.32,-0.0938,-0.0156,0.9531
0.34,-0.0938,-0.0156,0.9375
0.36,-0.0938,-0.0156,0.9531
0.38,-0.0938,-0.0156,0.9531
0.40,-0.0938,-0.0156,0.9531
0.42,-0.0938,-0.0156,0.9375
0.44,-0.0938,-0.0156,0.9531
0.46,-0.0938,-0.0312,0.9375
0.48,-0.0938,-0.0156,0.9531
0.50,-0.0938,-0.0156,0.9375
0.52,-0.0938,-0.0156,0.9531
0.54,-0.0938,-0.0156,0.9531
0.56,-0.0938,-0.0156,0.9531
0.58,-0.0938,-0.0156,0.9531
0.60,-0.0938,-0.0156,0.9375
0.62,-0.0938,-0.0156,0.9531
0.64,-0.0938,-0.0156,0.9375
0.66,-0.0938,-0.0156,0.9531
0.68,-0.0938,-0.0156,0.9375
0.70,-0.0938,-0.0156,0.9531
0.72,-0.0938,-0.0156,0.9531
0.74,-0.0938,-0.0156,0.9531
0.76,-0.0938,-0.0156,0.9531
0.78,-0.0938,-0.0156,0.9531
0.80,-0.0938,-0.0156,0.9531
0.82,-0.0938,-0.0156,0.9531
0.84,-0.0938,-0.0156,0.9531
0.86,-0.0938,-0.0156,0.9531
0.88,-0.0938,-0.0156,0.9531
0.90,-0.0938,-0.0156,0.9531
0.92,-0.0938,-0.0156,0.9531
0.94,-0.0938,-0.0156,0.9531
0.96,-0.0938,-0.0156,0.9375
0.98,-0.0938,-0.0156,0.9531
1.00,-0.0938,-0.0156,0.9531
1.02,-0.0938,-0.0156,0.9531
1.04,-0.0938,-0.0156,0.9375
1.06,-0.0938,-0.0156,0.9531
1.08,-0.0938,-0.0156,0.9531
1.10,-0.0938,-0.0156,0.9531
1.12,-0.0938,-0.0156,0.9531
1.14,-0.0938,-0.0156,0.9531
1.16,-0.0938,-0.0156,0.9531
1.18,-0.0938,-0.0156,0.9531
1.20,-0.0938,-0.0156,0.9531
1.22,-0.0938,-0.0156,0.9531
1.24,-0.0938,-0.0156,0.9531
1.26,-0.0938,-0.0156,0.9375
1.28,-0.0938,-0.0156,0.9531
1.30,-0.0938,-0.0156,0.9375
1.32,-0.0938,-0.0156,0.9531
1.34,-0.0938,-0.0156,0.9531
1.36,-0.0938,-0.0156,0.9531
1.38,-0.0938,-0.0156,0.9531
1.40,-0.0938,-0.0156,0.9531
1.42,-0.0938,-0.0156,0.9375
1.44,-0.0938,-0.0156,0.9531
